month,year,City Name,Province,Lat,Lng,mean_2m_air_temperature,total_precipitation,elevation,premWater,area,flooded
2,2003,Badin,Sindh,24.7631784,68.8275597674353,295.028686853468,0.00612496257209113,9.3436884603151,213100.17254902,6604869609.39921,YES
2,2003,Central Karachi,Sindh,24.9478329,67.0600623010151,295.25516329089,0.00335052334318058,40.6955427548794,2.02745098039215,63482504.0361945,NO
2,2003,Dadu,Sindh,26.75140465,67.5275449056309,292.585169374743,0.00486748104319439,162.741877774606,160051.650980392,8121250329.00532,YES
2,2003,East Karachi,Sindh,24.93077175,67.1603471636946,295.252340450922,0.00335108681346675,41.8482370267694,85.1960784313725,204775659.343426,NO
2,2003,Ghotki,Sindh,27.83051075,69.6965241836396,292.045874302731,0.0219518255367232,71.1510408027091,57589.4235294119,6488814207.38576,YES
2,2003,Hyderabad,Sindh,17.38878595,78.4610647345314,294.505683117644,0.00199243070351902,23.4748015237281,16939.1333333333,993453661.397525,YES
2,2003,Jacobabad,Sindh,28.18829845,68.5122930244064,292.231784217684,0.0145713307066125,57.318929607618,155002.886274509,2847607859.91677,YES
2,2003,Jamshoro,Sindh,25.7826965,67.8508724783366,293.825373152096,0.0032501152247052,207.937550283211,81279.9098039215,10839153870.1071,YES
2,2003,Kashmore,Sindh,28.2440614,69.1921340975309,292.169216032342,0.0133323510357737,70.2847842977513,178366.160784313,2741048016.85597,YES
2,2003,Khairpur,Sindh,26.9301974,68.9328854139982,293.436948671065,0.0152247935027101,56.3537579315897,91668.6352941179,15955303847.0881,NO
2,2003,Larkana,Sindh,27.5211066,68.1920865,292.386585600683,0.00668116829922471,51.4920221194933,69116.0588235294,1905287792.41552,NO
2,2003,Matiari,Sindh,25.77068465,68.4280411056249,293.92956844275,0.00251185618424178,26.2263858019572,32187.2117647058,1593602732.83262,NO
2,2003,Mirpur Khas,Sindh,25.3029306,69.1643484259357,294.176824901429,0.00300549544069614,13.7048187357897,89438.6470588235,3385804201.97821,YES
2,2003,Naushahro Feroze,Sindh,26.88547035,68.0860156005744,292.803741371768,0.00193651022406508,44.3023343099236,78207.2117647061,2827100504.42642,NO
2,2003,Sanghar,Sindh,25.97993465,69.3053323695782,294.10511839791,0.00779194304112712,29.1641137808885,147908.462745098,9891482125.49314,YES
2,2003,Shikarpur,Sindh,27.9275341033935,68.570122726817,292.482819194265,0.0144779118015973,61.2506587719855,128194.231372549,2612975653.07068,YES
2,2003,South Karachi,Sindh,24.80349715,67.0351956821958,295.292151879439,0.00348650050173306,10.4376644098494,291.141176470588,116302040.778891,YES
2,2003,Sujawal,Sindh,24.21789385,68.2489433406476,295.631341560282,0.00944748541218621,4.75347002266121,1202193.01960784,11500489408.3854,YES
2,2003,Sukkur,Sindh,27.551149,69.05497712785,292.640266481243,0.0198748983588412,64.7943651350842,101947.149019608,5136645704.60624,NO
2,2003,Tando Allahyar,Sindh,25.4695701599121,68.7523003292569,294.021626790146,0.00253403068648864,20.3428579593897,16205.0509803921,1483417668.76156,NO
2,2003,Tando Muhammad Khan,Sindh,25.0325813293457,68.4569704365193,294.83493225672,0.00236414884538546,14.7652499320973,27840.7215686274,1763050466.18053,YES
2,2003,Tharparkar,Sindh,24.94181595,70.2397390712097,295.463429091832,0.00810588786487564,62.5412407585292,130561.62745098,19846809678.3606,YES
2,2003,Thatta,Sindh,24.6496097,67.4714324825856,295.311480810431,0.00581052661427107,29.7820053341086,563654.721568628,11834853710.7182,YES
2,2003,West Karachi,Sindh,25.00860885,67.0263844553067,294.996407804435,0.00356469889583924,61.6269814439185,244.623529411764,188863591.706719,NO
2,2003,Umerkot,Sindh,25.3413056,69.753962411758,294.737624312482,0.00677741974973791,30.8474229914778,50583.7529411764,5716309988.54897,YES
2,2003,Qambar Shahdadkot,Sindh,27.65062655,67.6935122021177,291.67770546148,0.010556002001213,140.665715215145,115460.776470588,5434634418.01689,YES
2,2003,Malir,Sindh,25.2194003999999,67.1845050618286,294.498713272974,0.00416630060963478,150.803891060035,16679.1058823529,2644619175.49701,YES
2,2003,Attock,Punjab,33.416667,72.333333,286.227817419683,0.174775937817244,400.636303892607,20557.1725490195,6982312572.51418,NO
2,2003,Bahawalnagar,Punjab,29.58007735,72.9955051984942,290.108482261138,0.0312237800898122,151.322283203393,33012.1215686274,8760734638.28279,NO
2,2003,Bahawalpur,Punjab,28.833333,71.666667,291.104407736914,0.029827806050097,116.321576537038,42879.7176470588,23993680292.0103,YES
2,2003,Bhakkar,Punjab,31.67245285,71.3389501174221,289.029663108106,0.0700032924782073,172.852952951584,47217.431372549,8528401475.74633,YES
2,2003,Chakwal,Punjab,32.89623015,72.8416280062722,286.569497963285,0.179455063127677,546.690650627897,4197.31372549019,3335774516.03897,NO
2,2003,Chiniot,Punjab,31.66966085,72.7969624607744,288.87005042834,0.0846024601330445,176.719369383154,50383.1098039215,2612192792.30203,NO
2,2003,Dera Ghazi Khan,Punjab,30.4545805,70.3976711824874,287.298249387284,0.0501019624844498,501.017938222032,115223.768627451,9101489383.44213,YES
2,2003,Faisalabad,Punjab,31.25,73.0,289.152956731982,0.0589128980004389,180.51266574112,19650.6588235294,5952555820.30112,NO
2,2003,Gujranwala,Punjab,32.07442515,74.1577942428708,288.497090512006,0.15925693363055,218.337883182311,4292.27843137254,2448352428.01087,NO
2,2003,Gujrat,Punjab,32.583333,73.75,287.890154632065,0.244784911909582,255.679238941173,35021.1176470587,2988005200.28335,NO
